Price,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,GOOGL,JNJ,JPM,MSFT,NVDA,TSLA,XOM,AAPL,GOOGL,JNJ,JPM,MSFT,NVDA,TSLA,XOM,AAPL,GOOGL,JNJ,JPM,MSFT,NVDA,TSLA,XOM,AAPL,GOOGL,JNJ,JPM,MSFT,NVDA,TSLA,XOM,AAPL,GOOGL,JNJ,JPM,MSFT,NVDA,TSLA,XOM
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-03,123.09602355957031,88.45169067382812,162.65589904785156,124.9287109375,233.4528045654297,14.300684928894043,108.0999984741211,95.43421936035156,128.8340031338152,90.36721788133093,162.82933761064848,126.4265337267963,239.46500660940322,14.981004654277776,118.80000305175781,98.57921587711593,122.21022673136561,87.8561840239744,160.6659380754587,123.79148635007445,231.32854977617055,14.081904060760499,104.63999938964844,94.52028349015951,128.22379338136977,88.91815977701387,160.80286985435822,125.03966965650287,236.86329296068058,14.836149193445959,118.47000122070312,98.36417495778798,112117500,28131200,6344900,11054800,25740000,401277000,231402800,15146200
2023-01-04,124.36566925048828,87.41948699951172,164.4267578125,126.09368133544922,223.2408447265625,14.734249114990234,113.63999938964844,95.71197509765625,126.62937150933897,89.97021418207204,164.48152494606364,127.29561886762211,226.91441744415422,14.838145196007998,114.58999633789062,96.01662264814186,123.10587260552037,86.61555606707714,162.92059199665462,125.34477702118721,220.18114984436647,14.226757745256368,107.5199966430664,93.86619307563186,124.8873030948284,89.67246086306939,163.29485264743158,125.73309725421527,226.3395100790415,14.552431925929696,109.11000061035156,93.90203436604352,89113600,34854800,9788800,11687600,50623400,431324000,180389000,18058400
2023-01-05,123.04679870605469,85.55358123779297,163.2126922607422,126.06575775146484,216.62448120117188,14.250733375549316,110.33999633789062,97.85343170166016,125.7533952948206,86.9133103030513,164.29895344051715,126.40106434687239,221.73047501122883,14.549434120901816,111.75,98.51647841010062,122.79090770776376,85.25583548783042,162.85669198513736,124.52892993412944,216.08854432449274,14.133849812431897,107.16000366210938,95.25499654346731,125.12349705306252,86.81406171973046,163.4135143576032,126.35449122293095,221.3894202164649,14.476507176700567,110.51000213623047,95.28187579926502,80962700,27194400,6255300,8381300,39585600,389168000,157986300,15946600
2023-01-06,127.5741958618164,86.68502807617188,164.53628540039062,128.47804260253906,219.177490234375,14.844141006469727,113.05999755859375,99.0361557006836,128.23361941413805,87.03240946135887,165.15699812700655,128.8878631869357,219.9862650716317,14.994990027309514,114.38999938964844,100.344331745645,122.9188539076289,84.2236299964327,163.751257351185,125.26469732887074,213.74020978145845,14.019966208080364,101.80999755859375,98.26558521945589,124.02117959147921,86.13915710492884,164.4267511377098,126.79220137209339,217.29685641664224,14.459525782981146,103.0,98.63295323688972,87754700,41381500,5706000,10029100,43613600,405044000,220911100,16348100
2023-01-09,128.0958251953125,87.35993957519531,160.27342224121094,127.94715118408203,221.31146240234375,15.612373352050781,119.7699966430664,97.19039916992188,131.30438194257326,89.37472307853587,164.08901470108165,129.35358238914282,225.3261046224166,16.039944878945512,123.5199966430664,100.03075488062977,127.83993420444634,87.20114334384667,159.90828477922835,127.4907716483412,220.61962878753835,15.125859853065773,117.11000061035156,96.59902811200602,128.41078181603234,87.69739387160715,163.66912403051415,129.09279002240004,220.65859925614794,15.26871746518566,118.95999908447266,100.03075488062977,70790800,29003900,7925300,8482300,27369800,504231000,190284000,17964600
2023-01-10,128.66668701171875,87.7569351196289,159.89002990722656,129.09280395507812,222.99720764160156,15.893088340759277,118.8499984741211,98.64192962646484,129.18832083166095,88.00506036543571,160.784592266836,129.20456806371087,225.3942852499652,15.946034827543395,122.76000213623047,98.85697736698789,126.09787998496417,85.18636120771751,159.12326217041849,127.89128293879766,221.51607720978163,15.456525150308474,114.91999816894531,96.77823039412142,128.20410381019116,85.33523786963791,160.38294804415483,128.33835358544826,221.93507289887148,15.491489991150903,121.06999969482422,98.37313020485168,63896200,30467800,5047500,9048700,27033900,384101000,167642500,15104600
2023-01-11,131.3831329345703,90.83367919921875,159.6344451904297,130.05213928222656,229.74026489257812,15.98499584197998,123.22000122070312,99.78882598876953,131.4028064616691,90.91308108868463,160.40121294899086,130.16390338125925,229.91565431558936,16.01196926439592,125.94999694824219,99.86050172974747,128.40095662151043,88.34250738771924,157.1059223012307,128.62709017108637,225.19943927297896,15.547434187787319,120.51000213623047,97.74591356029543,129.1784814447806,88.51123072369855,160.26429510945124,129.37220311412872,225.37482869599023,15.824157569436228,122.08999633789062,99.44833716601045,69458900,26862000,6494800,8703700,28669300,353285000,183810800,16710400
2023-01-12,131.30441284179688,90.44660186767578,158.83114624023438,129.92176818847656,232.41014099121094,16.49448585510254,123.55999755859375,101.44644165039062,132.14098840377943,91.18105796596775,159.47925647127914,131.19778927260577,233.76459137721616,16.620359284778843,124.12999725341797,101.91236470762857,129.36550386584642,89.07695338835796,157.73576181049825,129.67028470496427,227.58673939319505,15.476504976085742,117.0,100.12034138036084,131.76699610111268,90.79398323111313,159.06847512263045,130.39677991322543,229.2432592016942,16.083897626620722,122.55999755859375,100.1920239540979,71379600,30258100,4269400,11001700,27269500,551409000,169400900,15357300
