Date,AAPL,GOOGL,JNJ,JPM,MSFT,NVDA,TSLA,XOM
2023-01-03,123.09602355957031,88.45169067382812,162.65589904785156,124.9287109375,233.4528045654297,14.300684928894043,108.0999984741211,95.43421936035156
2023-01-04,124.36566925048828,87.41948699951172,164.4267578125,126.09368133544922,223.2408447265625,14.734249114990234,113.63999938964844,95.71197509765625
2023-01-05,123.04679870605469,85.55358123779297,163.2126922607422,126.06575775146484,216.62448120117188,14.250733375549316,110.33999633789062,97.85343170166016
2023-01-06,127.5741958618164,86.68502807617188,164.53628540039062,128.47804260253906,219.177490234375,14.844141006469727,113.05999755859375,99.0361557006836
2023-01-09,128.0958251953125,87.35993957519531,160.27342224121094,127.94715118408203,221.31146240234375,15.612373352050781,119.7699966430664,97.19039916992188
2023-01-10,128.66668701171875,87.7569351196289,159.89002990722656,129.09280395507812,222.99720764160156,15.893088340759277,118.8499984741211,98.64192962646484
2023-01-11,131.3831329345703,90.83367919921875,159.6344451904297,130.05213928222656,229.74026489257812,15.98499584197998,123.22000122070312,99.78882598876953
2023-01-12,131.30441284179688,90.44660186767578,158.83114624023438,129.92176818847656,232.41014099121094,16.49448585510254,123.55999755859375,101.44644165039062
2023-01-13,132.63308715820312,91.4291763305664,158.3108673095703,133.2002716064453,233.1117401123047,16.882095336914062,122.4000015258789,101.38372802734375
2023-01-17,133.79449462890625,90.60540771484375,157.33412170410156,131.14190673828125,234.20309448242188,17.68429946899414,131.49000549316406,101.18659210205078
2023-01-18,133.0760040283203,90.43669128417969,154.96080017089844,127.20203399658203,229.7792205810547,17.359622955322266,128.77999877929688,99.10785675048828
2023-01-19,133.13504028320312,92.35221862792969,154.75083923339844,125.5068588256836,225.9984588623047,16.748233795166016,127.16999816894531,99.7440185546875
2023-01-20,135.69400024414062,97.28494262695312,154.0297088623047,125.8142318725586,234.07643127441406,17.82115936279297,133.4199981689453,101.56292724609375
2023-01-23,138.88284301757812,99.04166412353516,153.63719177246094,127.85401916503906,236.3760528564453,19.17380714416504,143.75,101.03427124023438
2023-01-24,140.2804412841797,96.96734619140625,153.63719177246094,128.9530487060547,235.84988403320312,19.24573516845703,143.88999938964844,101.97510528564453
2023-01-25,139.6210479736328,94.50592803955078,154.7325897216797,129.5771026611328,234.4564666748047,19.30367660522461,144.42999267578125,101.4374771118164
2023-01-26,141.6878662109375,96.78868865966797,154.16664123535156,130.37814331054688,241.657470703125,19.782197952270508,160.27000427246094,105.51433563232422
2023-01-27,143.62680053710938,98.62481689453125,153.5641632080078,130.69482421875,241.8134002685547,20.344633102416992,177.89999389648438,103.58792114257812
2023-01-30,140.7430419921875,96.21305084228516,147.87728881835938,129.58644104003906,236.50274658203125,19.142839431762695,166.66000366210938,101.75108337402344
2023-01-31,142.01268005371094,98.09879302978516,149.1734619140625,130.35952758789062,241.47232055664062,19.51746368408203,173.22000122070312,103.9463119506836
2023-02-01,143.13465881347656,99.67686462402344,150.54269409179688,130.01486206054688,246.28599548339844,20.922060012817383,181.41000366210938,102.80838012695312
2023-02-02,148.4396209716797,106.93205261230469,151.10867309570312,129.40945434570312,257.8328857421875,21.687284469604492,188.27000427246094,99.5916976928711
2023-02-03,152.06153869628906,103.99424743652344,150.259765625,131.4119873046875,251.74278259277344,21.07889747619629,189.97999572753906,100.2816162109375
2023-02-06,149.3352508544922,102.12834930419922,149.11871337890625,132.18505859375,250.20314025878906,21.067914962768555,194.75999450683594,100.11137390136719
2023-02-07,152.2091522216797,106.83279418945312,149.15521240234375,133.79640197753906,260.7172546386719,22.150827407836914,196.80999755859375,102.96965789794922
2023-02-08,149.52224731445312,98.62481689453125,149.34693908691406,132.85565185546875,259.9084777832031,22.18279266357422,201.2899932861328,102.07364654541016
2023-02-09,148.48883056640625,94.29752349853516,147.32957458496094,130.78794860839844,256.8780212402344,22.314659118652344,207.32000732421875,102.45892333984375
2023-02-10,148.85354614257812,93.8608169555664,148.01419067382812,131.3654327392578,256.37127685546875,21.243730545043945,196.88999938964844,106.7777099609375
2023-02-13,151.65298461914062,93.90052032470703,148.56190490722656,132.7904815673828,264.3810729980469,21.766210556030273,194.63999938964844,106.36237335205078
2023-02-14,151.0122833251953,93.96998596191406,147.9137725830078,133.37725830078125,265.2093505859375,22.948028564453125,209.25,105.11636352539062
2023-02-15,153.1118621826172,96.21305084228516,145.47654724121094,133.9361114501953,263.0895080566406,22.741233825683594,214.24000549316406,104.80034637451172
2023-02-16,151.5149688720703,94.79376220703125,144.445068359375,132.09193420410156,256.08538818359375,21.979999542236328,202.0399932861328,104.49335479736328
2023-02-17,150.37158203125,93.6424560546875,147.4606475830078,132.4831085205078,252.09002685546875,21.366613388061523,208.30999755859375,100.47541809082031
2023-02-21,146.35963439941406,91.1016616821289,145.26333618164062,130.05213928222656,246.82469177246094,20.634342193603516,197.3699951171875,100.3760986328125
2023-02-22,146.78353881835938,90.96269989013672,145.06105041503906,129.05552673339844,245.69154357910156,20.733243942260742,200.86000061035156,99.07591247558594
2023-02-23,147.26651000976562,90.20841217041016,145.0150909423828,130.0894012451172,248.8761444091797,23.640329360961914,202.07000732421875,99.98785400390625
2023-02-24,144.61495971679688,88.46160888671875,143.39697265625,131.26295471191406,243.4545135498047,23.262714385986328,196.8800048828125,99.99689483642578
2023-02-27,145.8076934814453,89.19606018066406,143.08438110351562,132.4086151123047,244.372802734375,23.477495193481445,207.6300048828125,99.8163070678711
2023-02-28,145.304931640625,89.3846435546875,140.90541076660156,133.51698303222656,243.64990234375,23.192785263061523,205.7100067138672,99.23845672607422
